BarCodeNum,TimeStamp,OFF STATUS,UPC STATUS,EDAMAM STATUS,USDA STATUS,NUTRITIONIX STATUS,Brands,Quantity,Categories,ProductName,ImageUrl,celery,cereals_containing_gluten,crustaceans,eggs,fish,lupin,milk,molluscs,mustard,nuts,peanuts,sesame_seeds,soya_beans,sulphur_dioxide,Vegan,LactoVegetarian,OvoVegetarian,LactoOvoVegetarian,Pescatarian,WhiteMeatOnly,RedMeatOnly,Halal,Kosher,Beef,Jain,Onion,Keto,Paleo,Mediterranean,SugarFree,Local,Organic,GeneticallyModified,FullyRecycled,PartRecycled,ABCDERatings,HighSugarSaltSpecificProducts,CountryOfOrigin,
27000612323,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,SUCCESS,Wesson,32 Pounds,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils",Wesson Vegetable Oil - 128 fl oz,https://www.edamam.com/food-img/48b/48b91a1935ca422615eac2ef98414ce8.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000198808,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,SUCCESS,Swanson,undefined,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients",SWANSON BROTH BEEF,https://www.edamam.com/food-img/e1d/e1df18ebf5415b780ce9089b693c3c65.jpg,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000213273,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,ERROR: Product not found,Pepperidge Farm,undefined,"Food, Beverages & Tobacco > Food Items > Soups & Broths",CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER,https://www.edamam.com/food-img/074/07403e93053074cbdbbfdc8b0e1bc567.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000213303,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,SUCCESS,Campbell's Slow Kettle,1.00lb,"Food, Beverages & Tobacco > Food Items > Soups & Broths",CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI,undefined,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000224637,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,SUCCESS,Swanson,undefined,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients",SWANSON BROTH CHICKEN,https://www.edamam.com/food-img/f80/f80780a5e153f943afe0849b72bb3050.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000227492,1.70E+12,ERROR: Product not found,SUCCESS,SUCCESS,ERROR: No product found,SUCCESS,CAMPBELL SOUP COMPANY,undefined,"Food, Beverages & Tobacco > Food Items > Soups & Broths",CAMPBELL'S SOUP BEAN AND HAM,undefined,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000024213,1.70E+12,ERROR: Product not found,ERROR: Product not found,SUCCESS,ERROR: No product found,SUCCESS,SWANSON BROTH,undefined,Packaged foods,Swanson Broth Beef,https://www.edamam.com/food-img/399/399d10d40c41826661d9cf52c4b8d734.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000227478,1.70E+12,ERROR: Product not found,ERROR: Product not found,SUCCESS,ERROR: No product found,SUCCESS,CAMPBELL SOUP COMPANY,undefined,Packaged foods,Prego Sauces Tomato Basil,https://www.edamam.com/food-img/f9d/f9ddfa2ed049744676f88cf51fd40721.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000058874,1.70E+12,ERROR: Product not found,ERROR: Product not found,SUCCESS,ERROR: No product found,SUCCESS,CAMPBELL SOUP COMPANY,undefined,Packaged foods,Campbell's Soup Tomato,https://www.edamam.com/food-img/0c3/0c3266d0a4d10cb4408420c6d7abb9de.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
51000232847,1.70E+12,ERROR: Product not found,ERROR: Product not found,SUCCESS,ERROR: No product found,SUCCESS,CAMPBELLS,undefined,Packaged foods,Campbell's Pasta Spaghettios w Franks,https://www.edamam.com/food-img/104/10418b20771042a8e156923ee824e186.png,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Unknown,No,Unknown,
